feature,importance
step,9.900010743654818e-05
charact love,9.889084930423424e-05
use year,9.886230165624968e-05
center,9.847056130688644e-05
attach,9.828996111760378e-05
puppi,9.817617578799831e-05
imagin,9.806759231760675e-05
entertain,9.801273225213176e-05
one work,9.800076642454465e-05
requir,9.795204338001948e-05
seem last,9.790868339309214e-05
get littl,9.780990607875454e-05
assembl,9.758923305030611e-05
older,9.738482791994555e-05
reach,9.73680078597636e-05
five,9.709222529108875e-05
appreci,9.69119818230401e-05
built,9.680466407253853e-05
hole,9.644697573393807e-05
first book,9.640397722784311e-05
simpli,9.635017247778455e-05
sleep,9.611116739519509e-05
delight,9.570649303025727e-05
price use,9.557117520883778e-05
blade,9.553461997686697e-05
rest,9.541055675425923e-05
littl difficult,9.529892465814138e-05
last long,9.505282556949596e-05
skin,9.486562967857505e-05
fit perfect,9.472722449763583e-05
qualiti product,9.45800087440978e-05
pace,9.429373138145379e-05
funni,9.400339157817128e-05
inspir,9.394182953332785e-05
copi book,9.38229001680142e-05
im glad,9.365382843095484e-05
use make,9.364179090024679e-05
attent,9.363042315999536e-05
macbook,9.357603478785318e-05
comfort wear,9.35236545115389e-05
suspens,9.335949405933679e-05
chanc,9.328293026967715e-05
camera,9.32105818886645e-05
switch,9.31802498687593e-05
quit bit,9.312457557441904e-05
year still,9.295592661101632e-05
sweet,9.283261837725074e-05
piec small,9.269379558506048e-05
enjoy much,9.245896303921195e-05
thing say,9.223368921257949e-05
except,9.20573753677547e-05
product year,9.204897978457985e-05
similar,9.199295839889435e-05
anyon interest,9.198686344495269e-05
notic,9.189013680843886e-05
truli,9.188528800343354e-05
macbook pro,9.168303788143671e-05
unfortun,9.164968909985932e-05
written stori,9.121539124443091e-05
coupl week,9.103075033465278e-05
war,9.044269179833127e-05
love itveri,9.042007803416351e-05
make sure,9.035563708018269e-05
sharp,9.033090803932147e-05
tini,9.012485896097469e-05
direct,9.002143108746618e-05
love made,8.952473784807336e-05
slightli,8.946127172385621e-05
written charact,8.943080983281282e-05
anyon els,8.942783683957855e-05
bra,8.934548846783788e-05
function,8.915308534444118e-05
incred,8.90516313501981e-05
admit bit,8.891805003438412e-05
realli good,8.881218469493083e-05
mr,8.857885877988254e-05
problem littl,8.824852698913256e-05
your look,8.804899870458874e-05
tend,8.77578302781731e-05
sent,8.73473674999708e-05
bit slow,8.722699351125233e-05
much better,8.713675472572704e-05
limit,8.711844593406179e-05
everyon,8.710096090071147e-05
good product,8.70972311607132e-05
picki,8.708380117052137e-05
replac old,8.69748027622622e-05
match,8.689736716480186e-05
track,8.682193848601347e-05
would like,8.66517998411641e-05
collar,8.65642198135924e-05
ring,8.64242544990961e-05
bottom,8.622923828043705e-05
anoth one,8.620371977348986e-05
cast,8.619148543397605e-05
updat,8.61853202652575e-05
avail,8.572667013969424e-05
stori line,8.551716891733781e-05
bulb,8.504026801213316e-05
love throw,8.497292403838601e-05
great would,8.488551318859649e-05
knee,8.488525224754175e-05
year ago,8.466093869986883e-05
great sound,8.462478650705826e-05
doubl,8.458397904029901e-05
lead,8.445856502165821e-05
chapter,8.42684269578714e-05
review find,8.42117422866491e-05
tire,8.408608291397622e-05
collect,8.403760823710338e-05
safe,8.388636088995239e-05
xl,8.36372598955284e-05
great book,8.360960762941075e-05
trust,8.340259510803529e-05
christma love,8.325227896505281e-05
red,8.315151788105948e-05
hear,8.308093467039574e-05
think go,8.30161644385346e-05
mention,8.293373586867723e-05
manag,8.291643277297417e-05
copi,8.286278434279306e-05
would buy,8.279127954071004e-05
width,8.271434769477386e-05
plastic one,8.254137177998711e-05
tabl,8.194072914939243e-05
thought good,8.182572511747045e-05
jump,8.132830205450759e-05
wrap,8.13084794459521e-05
cord,8.130075261068517e-05
jacket,8.125481304132845e-05
act top,8.118505978207773e-05
love music,8.107357565362964e-05
laptop,8.105280280259824e-05
thing like,8.103327937783957e-05
loos,8.093986924558635e-05
detail,8.09360324529945e-05
women,8.085087493091689e-05
ear,8.063680808612492e-05
think great,8.05644976799495e-05
flat,8.00781644483471e-05
dvd,8.001239880441505e-05
push,8.000356702956824e-05
good act,7.980187559166465e-05
posit,7.950093753675156e-05
throw,7.936408640397864e-05
adult,7.88968969566026e-05
shirt,7.852388735005913e-05
wife,7.813079192420315e-05
like way,7.784524514956108e-05
dog eat,7.773316263114631e-05
perform,7.750234190296576e-05
